cited_by_count,title,publication_year,,
70,Modular Forms: A Classical Approach,2024,,
60,A three-point form factor through five loops,2023,,
58,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,2024,,
23,A diversity-enhanced knowledge distillation model for practical math word problem solving,2025,,
23,Tip of the Iceberg: Overmassive Black Holes at 4 < z < 7 Found by JWST Are Not Inconsistent with the Local M BH - M �?Relation,2025,,
25,Challenging the ΛCDM model: 5σ evidence for a dynamical dark energy late-time transition,2025,,
20,Reputation in public goods cooperation under double Q-learning protocol,2025,,
34,Cosmology from CMB lensing and delensed EE power spectra using 2019�?020 SPT-3G polarization data,2025,,
21,Implications of the cosmic calibration tension beyond H0 and the synergy between early- and late-time new physics,2025,,
20,Higher Landau-Level Analogs and Signatures of Non-Abelian States in Twisted Bilayer MoTe2,2025,,
20,Indistinguishability Obfuscation from Well-Founded Assumptions,2025,,
28,A new fast multiple color image encryption algorithm,2025,,
32,Quantum State Designs with Clifford-Enhanced Matrix Product States,2025,,
20,Indistinguishability Obfuscation from Well-Founded Assumptions,2025,,
29,RUBIES Reveals a Massive Quiescent Galaxy at z = 7.3,2025,,
23,Search for Neutrino Emission from Hard X-Ray AGN with IceCube,2025,,
21,Periodically poled aluminum scandium nitride bulk acoustic wave resonators and filters for communications in the 6G era,2025,,
29,Deep Rest-UV JWST/NIRSpec Spectroscopy of Early Galaxies: The Demographics of C iv and N-emitters in the Reionization Era,2025,,
29,Dynamical dark energy beyond Planck? Constraints from multiple CMB probes, DESI BAO, and type-Ia supernovae,2025
26,CEERS: Increasing Scatter along the Star-forming Main Sequence Indicates Early Galaxies Form in Bursts,2025,,
20,Neutrino masses and mixing: Entering the era of subpercent precision,2025,,
20,Topological holography, quantum criticality, and boundary states,2025
24,Long-lived entanglement of molecules in magic-wavelength optical tweezers,2025,,
30,Elastic, strong and tough ionically conductive elastomers,2025,
39,Gapped phases with non-invertible symmetries: (1+1)d,2025,,
25,Generalized black hole entropy is von Neumann entropy,2025,,
20,Unifying Theory of Scaling in Drop Impact: Forces and Maximum Spreading Diameter,2025,,
21,Non-minimal Einstein–Yang–Mills black holes: fundamental quasinormal mode and grey-body factors versus outburst of overtones,2025,,
22,Non-invertible and higher-form symmetries in 2+1d lattice gauge theories,2025,,
20,Modular invariant Starobinsky inflation and the Species Scale,2025,,
23,Negative neutrino masses as a mirage of dark energy,2025,,
34,SN H0pe: The First Measurement of H 0 from a Multiply Imaged Type Ia Supernova, Discovered by JWST,2025,
28,From Existing and New Nuclear and Astrophysical Constraints to Stringent Limits on the Equation of State of Neutron-Rich Dense Matter,2025,,
20,Star Cluster Population of High Mass Black Hole Mergers in Gravitational Wave Data,205,,
22,Gauging modulated symmetries: Kramers-Wannier dualities and non-invertible reflections,2025,,
20,Strong Rest-UV Emission Lines in a “Little Red Dot�?Active Galactic Nucleus at z = 7: Early Supermassive Black Hole Growth alongside Compact Massive Star Formation?,2025,,
21,Assessing Cosmological Evidence for Nonminimal Coupling,2025,,
21,CAPERS-LRD-z9: A Gas-enshrouded Little Red Dot Hosting a Broad-line Active Galactic Nucleus at z = 9.288,2025,,
29,Deep learning model based prediction of vehicle CO2 emissions with eXplainable AI integration for sustainable environment,2025,,
36,Efficient GPU-accelerated multisource global fit pipeline for LISA data analysis,2025,,
26,Novel topological classes in black hole thermodynamics,,,
21,Between reality and delusion: challenges of applying large language models to companion robots for open-domain dialogues with older adults,,,
21,Double-scaled SYK and de Sitter holography,2025,,
22,XRISM Reveals Low Nonthermal Pressure in the Core of the Hot, Relaxed Galaxy Cluster A2029,2025,
25,exoALMA. I. Science Goals, Project Design, and Data Products,2025
22,Conformal collider physics meets LHC data,2025,,
24,Interfaces and Free Boundaries, Mathematical Analysis, Computation and Applications,2025
20,Hubble Space Telescope Observations of the Interstellar Interloper 3I/ATLAS,2025,,
24,Electronic structure of superconducting infinite-layer lanthanum nickelates,2025,,
23,QCD Constraints on Isospin-Dense Matter and the Nuclear Equation of State,2025,,
49,Direct neutrino-mass measurement based on 259 days of KATRIN data,2025,,
28,The Hubble Tension in Our Own Backyard: DESI and the Nearness of the Coma Cluster,2025,,
24,Evolutionary optimization of model merging recipes,2025,,
25,Multi objective optimization of FDM 3D printing parameters set via design of experiments and machine learning algorithms,2025,,
30,Realizing high power factor and thermoelectric performance in band engineered AgSbTe2,2025,,
25,Cosmology in Extended Parameter Space with DESI Data Release 2 Baryon Acoustic Oscillations: A 2σ+ Detection of Nonzero Neutrino Masses with an Update on Dynamical Dark Energy and Lensing Anomaly,2025,,
25,Building an Inclusive Classroom.,2025,,
36,Less-acidic boric acid-functionalized self-assembled monolayer for mitigating NiOx corrosion for efficient all-perovskite tandem solar cells,2025,,
