cited_by_count,title,publication_year
597,From Moral Principles in Education (1909),2025
517,Manifiesto del partido Comunista.,2023
514,Critical Pedagogy: A Look at the Major Concepts,2023
454,Status of Instructional Leadership Practices in Botswana's Public Technical and Vocational Education and Training: A Case of Brigades,2024
381,The Historian's Craft,2024
376,The Philosophy of Literary Form,2023
354,PENDIDIKAN KEWARGANEGARAAN,2023
331,Mao's war against nature: Politics and the environment in revolutionary China,2023
326,The Expressiveness of the Body and the Divergence of Greek and Chinese Medicine,2023
319,Der vollkommene Capellmeister,2025
296,Signs: journal of women in culture and society,2024
287,Interpretation and the sciences of man,2023
275,Oxford Studies in Ancient Philosophy,2024
248,Teknik Pengumpulan Data Dan Instrumen Penelitian Ilmiah Pendidikan Pada Pendekatan Kualitatif dan Kuantitatif,2023
216,Classroom Strategies for Interactive Learning,2023
213,Africa,2023
207,The Futures of Learning 3: What Kind of Pedagogies for the 21st Century?,2023
206,Social Learning Theory,2024
184,STEM Education: Proceed with caution,2023
184,The Swiss Journal of Economics and Statistics at 160,2024
177,Leveraging ChatGPT for Enhancing Critical Thinking Skills,2023
173,"Critical thinking in the AI era: An exploration of EFL studentsâ€?perceptions, benefits, and limitations",2023
168,Pengembangan Kurikulum Pendidikan Agama Islam,2024
149,Die Krisis des Historismus,2025
146,ChatGPT in physics education: A pilot study on easy-to-implement activities,2023
145,Building Future-Ready Vocational Education and Training Systems,2023
145,The History of Chinese Civilization,2023
137,Systematic review of problem based learning research in fostering critical thinking skills,2023
135,The effectiveness of collaborative problem solving in promoting studentsâ€?critical thinking: A meta-analysis based on empirical literature,2023
135,Defining Critical Thinking,2023
134,Feed into Milk: A New Applied Feeding System for Dairy Cows,2023
134,Aristotleâ€™s Doctrine of the Mean,2023
127,Philosophical Letters (1786),2023
124,The influence of AI text generators on critical thinking skills in UK business schools,2024
122,Perspektif Islam Tentang Strategi Pembelajaran,2024
120,The Draft Civil Code for Israel in Comparative Perspective,2025
117,The Early Years Foundation Stage,2024
115,Chinese History in Economic Perspective,2024
111,Why skills anticipation in African VET systems needs to be decolonized: The wide-spread use and limited value of occupational standards and competency-based qualifications,2023
108,The EU Taxonomy for Sustainable Activities,2024
107,Social Learning Theory,2024
101,The National Education Policy-2020,2024
371,Indigenous Agricultural Revolution,2023
211,Die Verfassung der Freiheit,2025
173,EFFECTIVE TEACHING METHODS,2024
124,Die Formgeschichte des Evangeliums,2025
105,"1.11 Proclus, Commentary on the First Book of Euclidâ€™s Elements",2024
154,Non-Benzenoid Aromatics,2023
677,Comparative Political Data Set 1960 -1996,2025
613,"African Journal of Food, Agriculture, Nutrition and Development",2025
558,Mid-Western Educational Researcher,2023
418,Educational Leadership,2023
347,Transformative learning and sustainability: sketching the conceptual ground (2011),2024
304,Journal of Philosophy of Education,2023
222,Scandinavian studies in law,2023
219,Journal of US-China Public Administration,2025
212,African Journal of Food Science,2023
206,Australian Journal of Teacher Education,2023
185,Defining Critical Thinking,2023
141,Revue de gestion des ressources humaines,2025
128,Glossary,2023
120,African Journal of Food Science,2023
109,White identity development : a process oriented model for describing the racial consciousness of white Americans.,2023
103,Agricultural production statistics 2000â€?022,2023
