title,display_name,publication_year,cited_by_count
Edge AI for Smart Surveillance: Real-time Human Activity Recognition on Low-power Devices,Edge AI for Smart Surveillance: Real-time Human Activity Recognition on Low-power Devices,2025,119
Continuous Space Translation Models for Phrase-Based Statistical Machine Translation,Continuous Space Translation Models for Phrase-Based Statistical Machine Translation,2025,113
Microservices Architecture,Microservices Architecture,2025,248
Artificial lemming algorithm: a novel bionic meta-heuristic technique for solving real-world engineering optimization problems,Artificial lemming algorithm: a novel bionic meta-heuristic technique for solving real-world engineering optimization problems,2025,100
Extending the Territory: From Open Educational Resources to Open Educational Practices,Extending the Territory: From Open Educational Resources to Open Educational Practices,2025,212
ARTIFICIAL INTELLIGENCE (AI) IN EDUCATION: USING AI TOOLS FOR TEACHING AND LEARNING PROCESS,ARTIFICIAL INTELLIGENCE (AI) IN EDUCATION: USING AI TOOLS FOR TEACHING AND LEARNING PROCESS,2025,111
AI Tools in Society: Impacts on Cognitive Offloading and the Future of Critical Thinking,AI Tools in Society: Impacts on Cognitive Offloading and the Future of Critical Thinking,2025,183
New Light Field Image Dataset,New Light Field Image Dataset,2025,261
The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,The Impact of Generative AI on Critical Thinking: Self-Reported Reductions in Cognitive Effort and Confidence Effects From a Survey of Knowledge Workers,2025,126
Multiscale structural similarity for image quality assessment,Multiscale structural similarity for image quality assessment,2025,876
Transforming Drug Therapy with Deep Learning: The Future of Personalized Medicine,Transforming Drug Therapy with Deep Learning: The Future of Personalized Medicine,2025,115
MEKA: A multi-label/multi-target extension to Weka,MEKA: A multi-label/multi-target extension to Weka,2025,217
Comparative Study of Ladder Logic and Structured Text Programming for PLC,Comparative Study of Ladder Logic and Structured Text Programming for PLC,2025,120
Expert Systems With Applications,Expert Systems With Applications,2025,154
Accurate predictions on small data with a tabular foundation model,Accurate predictions on small data with a tabular foundation model,2025,220
A Comprehensive Overview of Large Language Models,A Comprehensive Overview of Large Language Models,2025,135
Medical SAM adapter: Adapting segment anything model for medical image segmentation,Medical SAM adapter: Adapting segment anything model for medical image segmentation,2025,137
